##############################################################################  
# Taumeter readings - GISMO summer pool 2012 (30/10-13/11/12) 
#
# Author: G.Bruni (bruni@iram.es)
#
# Sky opacities given here were measured by the "old" taumeter via skydips
# at 225GHz. We list here the "Lambda" values compiled by D.John.
#
# Col 1: Local time (UT+1)
# Col 2: date 
# Col 3: Tau 
# Col 4: Tau error
#
#############################################################################
#
  15:06:37	2012-10-29     0.078   0.11    
  15:09:37	2012-10-29     0.074   0.044  
  15:12:37	2012-10-29     0.027   0.044  
  15:15:37	2012-10-29     0.031   0.05   
  15:18:37	2012-10-29     0.079   0.044  
  15:21:37	2012-10-29     0.09    0.043  
  15:24:37	2012-10-29     0.078   0.043  
  15:26:37	2012-10-29     0.092   0.042  
  15:30:37	2012-10-29     0.069   0.041  
  15:33:37	2012-10-29     0.133   0.044  
  15:36:37	2012-10-29     0.052   0.042  
  15:39:37	2012-10-29     0.108   0.042  
  15:42:37	2012-10-29     0.092   0.043  
  15:45:37	2012-10-29     0.146   0.044  
  15:48:37	2012-10-29     0.12    0.043  
  15:51:37	2012-10-29     0.117   0.043  
  15:53:37	2012-10-29     0.072   0.042  
  15:56:38	2012-10-29     0.097   0.044  
  15:59:38	2012-10-29     0.121   0.043  
  16:02:38	2012-10-29     0.127   0.042  
  16:05:38	2012-10-29     0.101   0.041  
  16:08:38	2012-10-29     0.128   0.043  
  16:11:38	2012-10-29     0.113   0.042  
  16:14:38	2012-10-29     0.104   0.041  
  16:17:38	2012-10-29     0.095   0.042  
  16:19:38	2012-10-29     0.116   0.042  
  16:24:38	2012-10-29     0.075   0.041  
  16:27:38	2012-10-29     0.109   0.042  
  16:30:38	2012-10-29     0.074   0.041  
  16:33:38	2012-10-29     0.135   0.041  
  16:36:38	2012-10-29     0.099   0.041  
  16:39:38	2012-10-29     0.102   0.041  
  16:42:38	2012-10-29     0.102   0.042  
  16:45:38	2012-10-29     0.1     0.041  
  16:48:38	2012-10-29     0.094   0.041  
  16:51:38	2012-10-29     0.091   0.04   
  16:54:38	2012-10-29     0.107   0.041  
  16:57:38	2012-10-29     0.095   0.041  
  17:00:38	2012-10-29     0.131   0.042  
  17:03:38	2012-10-29     0.132   0.042  
  17:06:38	2012-10-29     0.112   0.041  
  17:09:38	2012-10-29     0.117   0.041  
  17:12:38	2012-10-29     0.117   0.042  
  17:14:38	2012-10-29     0.147   0.042  
  17:17:39	2012-10-29     0.115   0.042  
  17:20:39	2012-10-29     0.127   0.043  
  17:23:39	2012-10-29     0.111   0.042  
  17:26:39	2012-10-29     0.101   0.042  
  17:29:39	2012-10-29     0.14    0.041  
  17:32:39	2012-10-29     0.143   0.041  
  17:35:39	2012-10-29     0.123   0.042  
  17:38:39	2012-10-29     0.097   0.041  
  17:41:39	2012-10-29     0.121   0.041  
  17:45:39	2012-10-29     0.136   0.041  
  17:48:39	2012-10-29     0.172   0.042  
  17:51:39	2012-10-29     0.105   0.042  
  17:54:39	2012-10-29     0.191   0.043  
  17:57:39	2012-10-29     0.166   0.042  
  18:00:39	2012-10-29     0.108   0.04   
  18:03:39	2012-10-29     0.096   0.04   
  18:06:39	2012-10-29     0.164   0.042  
  18:09:39	2012-10-29     0.146   0.041  
  18:12:40	2012-10-29     0.132   0.041  
  18:15:40	2012-10-29     0.165   0.041  
  18:18:40	2012-10-29     0.166   0.042  
  18:21:40	2012-10-29     0.153   0.042  
  18:24:40	2012-10-29     0.102   0.042  
  18:27:40	2012-10-29     0.127   0.042  
  18:30:40	2012-10-29     0.137   0.042  
  18:33:40	2012-10-29     0.114   0.041  
  18:36:40	2012-10-29     0.098   0.041  
  18:39:40	2012-10-29     0.114   0.042  
  18:41:40	2012-10-29     0.152   0.041  
  18:44:40	2012-10-29     0.105   0.041  
  18:47:40	2012-10-29     0.148   0.042  
  18:50:40	2012-10-29     0.125   0.041  
  18:53:40	2012-10-29     0.141   0.043  
  18:56:40	2012-10-29     0.14    0.041  
  18:59:40	2012-10-29     0.141   0.042  
  19:02:40	2012-10-29     0.134   0.041  
  19:05:40	2012-10-29     0.137   0.042  
  19:09:40	2012-10-29     0.191   0.042  
  19:12:40	2012-10-29     0.129   0.041  
  19:15:40	2012-10-29     0.145   0.043  
  19:18:40	2012-10-29     0.19    0.044  
  19:21:40	2012-10-29     0.172   0.044  
  19:24:40	2012-10-29     0.142   0.041  
  19:27:41	2012-10-29     0.167   0.042  
  19:30:41	2012-10-29     0.154   0.042  
  19:34:41	2012-10-29     0.195   0.044  
  19:36:41	2012-10-29     0.187   0.043  
  19:39:41	2012-10-29     0.165   0.046  
  19:42:41	2012-10-29     0.146   0.042  
  19:45:41	2012-10-29     0.151   0.042  
  19:48:41	2012-10-29     0.12    0.041  
  19:51:41	2012-10-29     0.175   0.043  
  19:54:41	2012-10-29     0.161   0.043  
  19:57:41	2012-10-29     0.15    0.045  
  20:00:41	2012-10-29     0.108   0.041  
  20:03:41	2012-10-29     0.139   0.04   
  20:05:41	2012-10-29     0.196   0.042  
  20:08:41	2012-10-29     0.194   0.041  
  20:11:41	2012-10-29     0.153   0.04   
  20:14:41	2012-10-29     0.213   0.043  
  20:17:41	2012-10-29     0.162   0.046  
  20:20:42	2012-10-29     0.152   0.04   
  20:23:42	2012-10-29     0.135   0.04   
  20:26:42	2012-10-29     0.184   0.041  
  20:29:42	2012-10-29     0.131   0.04   
  20:34:42	2012-10-29     0.222   0.043  
  20:36:42	2012-10-29     0.227   0.054  
  20:39:42	2012-10-29     0.186   0.048  
  20:42:42	2012-10-29     0.164   0.041  
  20:45:42	2012-10-29     0.186   0.045  
  20:48:42	2012-10-29     0.175   0.042  
  20:51:42	2012-10-29     0.158   0.04   
  20:54:42	2012-10-29     0.151   0.039  
  20:58:42	2012-10-29     0.192   0.052  
  21:01:42	2012-10-29     0.179   0.044  
  21:03:43	2012-10-29     0.125   0.039  
